time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_x,payload_rel_y,payload_rel_z,x_des,y_des,yaw_des,tracking_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw
0.7880000000000006,0.03491335304909356,-2.527352054976945e-06,0.00038823535984721763,0.10317341611538135,-7.337680466947135e-06,0.001215427124389598,0.1481299712152172,0.0500414159708665,0.8548876426466812,0.11342296499835441,0.05004392864756054,0.7048876426466811,0.19700000000000015,0.0,0.0,0.16208664697061057,-0.00038823535984722213,9.069484877658493,0.00020105650501560368,-0.016925346928358235
0.7900000000000006,0.03512043074050039,-2.542038218392816e-06,0.0003906703014218478,0.10353884570341704,-7.343081707935445e-06,0.0012174707873150886,0.14833599858083457,0.050041676892976346,0.8548876434477144,0.11342264553174101,0.050044204245031323,0.7048876434477144,0.19750000000000015,0.0,0.0,0.16237956927939745,-0.0003906703014218138,9.07831811940622,0.00020178300807732814,-0.01699844674251814
0.7920000000000006,0.03532823995536473,-2.5567349677854858e-06,0.00039310930809998486,0.10390460743216881,-7.3483746963348376e-06,0.0012195033390685357,0.14854275641849862,0.05004193826774378,0.8548876441939659,0.11342232567799823,0.050044480305962175,0.7048876441939659,0.19800000000000015,0.0,0.0,0.1626717600647277,-0.0003931093080997705,9.087114468236486,0.00020250870032290205,-0.017071582259435877
0.7940000000000006,0.035536781354873,-2.5714420863025564e-06,0.00039555235759739784,0.10427069975413772,-7.353559258535267e-06,0.001221524748706479,0.1487502453944218,0.05004220009286294,0.8548876448891864,0.11342200543905707,0.05004475682783073,0.7048876448891864,0.19850000000000015,0.0,0.0,0.16296321866541488,-0.0003955523575975839,9.095873912822567,0.00020323356990636492,-0.017144752736905477
0.7960000000000006,0.03574605559711599,-2.58615935674773e-06,0.000397999427568299,0.10463712112149397,-7.358635222586871e-06,0.0012235349854505962,0.14895846617172576,0.05004246236602133,0.8548876455368701,0.11342168481685275,0.05004503380810763,0.7048876455368701,0.19900000000000015,0.0,0.0,0.16325394442336827,-0.0003979994275682408,9.10459644198107,0.00020395760498603823,-0.017217957432178473
0.7980000000000006,0.03595606333708815,-2.6008865615841328e-06,0.0004004504956056749,0.10500386998608274,-7.363602418201425e-06,0.0012255340186879166,0.14916741941044068,0.05004272508489979,0.8548876461402716,0.11342136381332468,0.05004531124425654,0.7048876461402716,0.19950000000000015,0.0,0.0,0.16354393668359332,-0.00040045049560566426,9.113282044671859,0.0002046807937246903,-0.017291195601909597
0.8000000000000006,0.03616680522668701,-2.61562348293764e-06,0.0004029055392416169,0.10537094479943003,-7.368460676753558e-06,0.0012275218179710113,0.14937710576750454,0.05004298824717261,0.8548876467024227,0.1134210424304164,0.0500455891337342,0.7048876467024227,0.20000000000000015,0.0,0.0,0.16383319479419256,-0.00040290553924160477,9.121930709998047,0.0002054031242897031,-0.017364466502269107
0.8020000000000006,0.03637828191471251,-2.630369902600204e-06,0.0004053645359476533,0.10573834401274848,-7.373209831282086e-06,0.0012294983530181961,0.1495875258967624,0.05004325185050751,0.8548876472261477,0.1134207206700754,0.050045867473990445,0.7048876472261477,0.20050000000000015,0.0,0.0,0.16412171810636605,-0.0004053645359478608,9.130542427205931,0.0002061245848532365,-0.017437769388866188
0.8040000000000006,0.0365904940468664,-2.6451256020331857e-06,0.0004078274631350807,0.10610606607694324,-7.377849716490909e-06,0.0012314635937137233,0.14979868044896577,0.05004351589256568,0.8548876477140775,0.11342039853425326,0.050046146262468276,0.7048876477140775,0.20100000000000015,0.0,0.0,0.16440950597441198,-0.00040782746313494656,9.139117185684963,0.00020684516359239423,-0.017511103516805696
0.8060000000000006,0.036803442265751635,-2.6598903623706867e-06,0.0004102942981552967,0.10647410944261781,-7.382380168750555e-06,0.001233417510107977,0.1500105700717718,0.05004378037100183,0.8548876481686629,0.11342007602490539,0.05004642549660386,0.7048876481686629,0.20150000000000015,0.0,0.0,0.16469655775572747,-0.00041029429815520047,9.1476549749677,0.00020756484868938427,-0.017584468140656003
