experiment,time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_world_x,payload_rel_world_y,payload_rel_world_z,payload_disp_world_x,payload_disp_world_y,payload_disp_world_z,payload_rel_base_x,payload_rel_base_y,payload_rel_base_z,payload_disp_base_x,payload_disp_base_y,payload_disp_base_z,payload_distance,payload_distance_change,x_des,y_des,yaw_des,x_error,y_error,tracking_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw,control_effort,total_control_effort,ctrl_x_saturated,ctrl_y_saturated,disturbance_fx
fixed_payload,2.591999999999936,1.3602541742635295,0.0014878004178952614,0.0239962680084023,0.764393994608661,0.005866756342503771,-0.08361390630348436,1.4774822982829408,0.0543608080899303,0.855,0.1187569120086287,0.05288474118472005,0.705,-0.0012430879913712944,0.002884741184720048,0.0,0.12000000000000002,0.05000000000000001,0.705,2.7755575615628914e-17,6.938893903907228e-18,0.0,0.7168856254661548,0.0,1.6,0.0,0.0,0.23974582573647063,-0.0014878004178952614,0.2397504421437959,-0.023996268008402488,-17.120177989506494,-0.26433984200017807,-0.10317129187000584,17.122218604621636,17.12252943521831,False,False,0.0
fixed_payload,2.593999999999936,1.3617819673246674,0.0014995360269357586,0.023828786421159417,0.7638965305689149,0.005867804520248645,-0.08374079362144143,1.4790199284111787,0.05435268140461608,0.8549999999999999,0.11876575414764923,0.05286488098672081,0.7049999999999998,-0.0012342458523507682,0.0028648809867208094,-1.1102230246251565e-16,0.12000000000000005,0.049999999999999996,0.7049999999999997,5.551115123125783e-17,-6.938893903907228e-18,-2.220446049250313e-16,0.7168856254661546,-1.1102230246251565e-16,1.6,0.0,0.0,0.2382180326753327,-0.0014995360269357586,0.23822275227190612,-0.023828786421159265,-17.163956781844306,-0.2648484887034424,-0.09822326238915602,17.166000032942666,17.166281045708825,False,False,0.0
fixed_payload,2.5959999999999357,1.3633087632611438,0.0015112735826454773,0.023661053063985235,0.7633979682382379,0.0058687778548593295,-0.08386667858709147,1.4805565737007575,0.054344525195302695,0.8549999999999999,0.11877460637609016,0.05284498916836693,0.7049999999999998,-0.0012253936239098318,0.0028449891683669307,-1.1102230246251565e-16,0.1199999999999999,0.049999999999999996,0.7049999999999997,-9.71445146547012e-17,-6.938893903907228e-18,-2.220446049250313e-16,0.7168856254661546,-1.1102230246251565e-16,1.6,0.0,0.0,0.23669123673885628,-0.0015112735826454773,0.23669606143071098,-0.02366105306398536,-17.207657262898714,-0.2653545992861329,-0.09327489880033302,17.209703121807568,17.20995589034148,False,False,0.0
fixed_payload,2.5979999999999355,1.3648345598806038,0.0015230129353666312,0.023493069942841654,0.7628983097299412,0.005869676360576933,-0.08399156057179097,1.4820922318338048,0.054336339544248206,0.855,0.11878346857266098,0.05282506596160273,0.705,-0.0012165314273390182,0.0028250659616027296,0.0,0.12000000000000006,0.05,0.705,6.938893903907228e-17,0.0,0.0,0.7168856254661548,0.0,1.6,0.0,0.0,0.23516544011939633,-0.0015230129353666312,0.235170371847626,-0.023493069942841505,-17.251279418784073,-0.26585816822589564,-0.08832625507708514,17.25332785727366,17.253553943402828,False,False,0.0
fixed_payload,2.5999999999999353,1.3663593549949178,0.0015347539354718207,0.02332483906491986,0.7623975571569986,0.00587050005259479,-0.0841154389608958,1.4836269004967422,0.05432812453395457,0.855,0.11879234061613841,0.05280511159858794,0.705,-0.0012076593838615812,0.002805111598587935,0.0,0.11999999999999988,0.05000000000000001,0.705,-1.1102230246251565e-16,6.938893903907228e-18,0.0,0.7168856254661548,0.0,1.6,0.0,0.0,0.2336406450050823,-0.0015347539354718207,0.23364568574667355,-0.02332483906491989,-17.29482323577209,-0.26635919003485786,-0.0833773851402918,17.296874225556426,17.29707517943629,False,False,0.0
fixed_payload,2.601999999999935,1.367883146420182,0.0015464964333659367,0.023156362438612355,0.7618957126320445,0.0058712489470580465,-0.08423831315375302,1.485160577380289,0.05431988024716646,0.8549999999999999,0.11880122238537116,0.052785126311694644,0.7049999999999998,-0.001198777614628832,0.002785126311694641,-1.1102230246251565e-16,0.11999999999999988,0.049999999999999996,0.7049999999999997,-1.1102230246251565e-16,-6.938893903907228e-18,-2.220446049250313e-16,0.7168856254661546,-1.1102230246251565e-16,1.6,0.0,0.0,0.23211685357981815,-0.0015464964333659367,0.23212200534850883,-0.023156362438612188,-17.338288700291663,-0.2668576592596905,-0.07842834285762246,17.340342213029334,17.340519573240314,False,False,0.0
fixed_payload,2.603999999999935,1.3694059319767167,0.0015582402794880631,0.02298764207348497,0.7613927782673715,0.005871923061063227,-0.08436018256369257,1.4866932601794622,0.054311606766870205,0.8549999999999999,0.1188101137592803,0.05276511033350427,0.7049999999999998,-0.0011898862407196953,0.002765110333504267,-1.1102230246251565e-16,0.12000000000000002,0.05,0.7049999999999997,2.7755575615628914e-17,0.0,-2.220446049250313e-16,0.7168856254661546,-1.1102230246251565e-16,1.6,0.0,0.0,0.23059406802328342,-0.0015582402794880631,0.23059933287044712,-0.022987642073485137,-17.381675798928832,-0.2673535704816691,-0.07347918204278658,17.383731806223814,17.38388709986668,False,False,0.0
fixed_payload,2.6059999999999346,1.3709277094890666,0.0015699853243133788,0.022818679980248932,0.7608887561749291,0.0058725224126577975,-0.08448104661801874,1.4882249465935784,0.05430330417629251,0.855,0.11881901461686173,0.05274506389680445,0.705,-0.0011809853831382666,0.002745063896804449,0.0,0.11999999999999994,0.05000000000000001,0.705,-5.551115123125783e-17,6.938893903907228e-18,0.0,0.7168856254661548,0.0,1.6,0.0,0.0,0.22907229051093347,-0.0015699853243133788,0.22907767052649208,-0.022818679980249,-17.424984518426665,-0.26784691831673546,-0.06852995645497306,17.42704299182913,17.427177734618777,False,False,0.0
fixed_payload,2.6079999999999344,1.3724484767859992,0.0015817314183550581,0.02264947817073293,0.7603836484663213,0.005873047020839716,-0.08460090475800143,1.4897556343262561,0.054294972558899424,0.855,0.11882792483718951,0.052724987234586046,0.705,-0.001172075162810482,0.002724987234586043,0.0,0.12000000000000009,0.05000000000000002,0.705,9.71445146547012e-17,1.3877787807814457e-17,0.0,0.7168856254661548,0.0,1.6,0.0,0.0,0.22755152321400085,-0.0015817314183550581,0.22755702052736537,-0.022649478170732706,-17.468214845685182,-0.2683376974155581,-0.06358071979811264,17.470275756692292,17.470391453049942,False,False,0.0
fixed_payload,2.609999999999934,1.3739682317005049,0.001593478412166172,0.022480038657855195,0.7598774572528049,0.005873496905556969,-0.08471975643886727,1.4912853210854156,0.054286611998395067,0.855,0.11883684429941632,0.05270488058004001,0.705,-0.0011631557005836735,0.002704880580040009,0.0,0.12,0.05,0.705,0.0,0.0,0.0,0.7168856254661548,0.0,1.6,0.0,0.0,0.22603176829949523,-0.001593478412166172,0.22603738508053647,-0.022480038657855417,-17.51136676776121,-0.2688259024635924,-0.05863152572030905,17.51343008781795,17.513528230961782,False,False,0.0
fixed_payload,2.611999999999934,1.3754869720697955,0.0016052261563415861,0.022310363455595613,0.7593701846452873,0.00587387208770709,-0.08483760112979054,1.4928140045832823,0.05427822257872058,0.855,0.11884577288277742,0.05268474416655441,0.705,-0.0011542271172225727,0.002684744166554405,0.0,0.12000000000000001,0.05,0.705,1.3877787807814457e-17,0.0,0.0,0.7168856254661548,0.0,1.6,0.0,0.0,0.22451302793020456,-0.0016052261563415861,0.22451876639025484,-0.02231036345559545,-17.55444027186836,-0.2693115281811408,-0.05368242781318178,17.55650597236833,17.556588044402616,False,False,0.0
