experiment,time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_x,payload_rel_y,payload_rel_z,payload_disp_x,payload_disp_y,payload_disp_z,x_des,y_des,yaw_des,tracking_error,lateral_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw
fixed_payload,0.6820000000000005,0.08445493482089095,0.0392375165131434,0.24080862458978194,0.24918065220242178,0.1218191163251072,0.5489040180338723,0.18865428830313086,0.11605481857098271,0.855,0.10469771478664475,0.07706094029048952,0.705,-0.015302285213355249,0.027060940290489513,0.0,0.4092000000000003,0.2296767769218691,0.46887170116495885,0.37646576107689583,0.19043926040872572,0.228063076575177,23.68779017214608,13.06169389317976,1.3092822961004007
fixed_payload,0.6840000000000005,0.08495475803924368,0.03948195284740968,0.241906798672392,0.24991160917636937,0.12221816713313817,0.5490870413050387,0.1890679884150909,0.11641334833695369,0.8549999999999999,0.10461305359419995,0.07717583182381028,0.7049999999999998,-0.015386946405800045,0.02717583182381028,-1.1102230246251565e-16,0.41040000000000026,0.23028435005145537,0.4684953104891491,0.37725344305083,0.19080239720404568,0.226588511816757,23.68675445418406,13.050532457890236,1.2678642301793364
fixed_payload,0.6860000000000005,0.08545604261944005,0.03972718716680828,0.24300532164891206,0.2506422900981834,0.12261715969930255,0.549261488260029,0.1894829960712167,0.11677262145579467,0.855,0.10452823803197303,0.07729066860838499,0.705,-0.015471761968026965,0.027290668608384985,0.0,0.4116000000000003,0.2308913549772998,0.4681177818979165,0.37803917785135766,0.1911641678104915,0.22511246024900444,23.685677147453553,13.039298905649567,1.226459503415044
fixed_payload,0.6880000000000005,0.08595878800461301,0.03997321934843368,0.24410417637655774,0.2513726925864801,0.1230160908127025,0.5494273638228375,0.18989931202329088,0.117132635787914,0.855,0.10444326940385083,0.07740544862110571,0.705,-0.015556730596149163,0.027405448621105707,0.0,0.4128000000000003,0.23149779020167804,0.4677391152090647,0.3788229653797841,0.19152457085324437,0.22363493883250696,23.684558354883187,13.027993324956732,1.1850685153590508
fixed_payload,0.6900000000000005,0.08646299363314756,0.04022004926295263,0.2452033457225477,0.25210281426727343,0.1234149572594751,0.5495846729949906,0.19031693702575597,0.11749338919397076,0.855,0.10435814902114296,0.07752016984553708,0.705,-0.015641850978857036,0.027520169845537082,0.0,0.4140000000000003,0.23210365422827148,0.4673593102418626,0.37960480554682957,0.19188360496531884,0.22215596451931496,23.68339817931175,13.016615804755435,1.1436916649437272
fixed_payload,0.6920000000000005,0.08696865893869565,0.04046767677459835,0.2463028125642585,0.2528326527740419,0.1238137558228599,0.5497334208554043,0.19073587183570226,0.1178548795349072,0.855,0.1042728782025547,0.07763483027195456,0.705,-0.0157271217974453,0.027634830271954555,0.0,0.4152000000000003,0.2327089455621709,0.4669783668170639,0.38038469827262794,0.19224126878757253,0.22067555425280538,23.682196723485276,13.005166434432052,1.102329350479983
fixed_payload,0.6940000000000005,0.08747578335019124,0.040716101741164884,0.247402559789379,0.2535622057477949,0.1242124832832668,0.5498736125602434,0.191156117212855,0.11821710467198097,0.8549999999999999,0.10418745827415934,0.07774942789738262,0.7049999999999998,-0.01581254172584065,0.02774942789738262,-1.1102230246251565e-16,0.41640000000000027,0.23331366270988002,0.46659628475692533,0.3811626434867253,0.19259756096871514,0.2191937249675462,23.680954090054193,12.993645303813507,1.060981969654895
fixed_payload,0.6960000000000005,0.08798436629186551,0.040965324014001575,0.24850257029606457,0.25429147083713877,0.12461113641834418,0.5500052533427785,0.1915776739195616,0.11858006246679734,0.855,0.10410189056937036,0.07786396072563245,0.705,-0.015898109430629637,0.02786396072563245,0.0,0.4176000000000003,0.2339178041793194,0.4662130638852263,0.38193864112807785,0.19295248016531782,0.21771049358916184,23.679670381570496,12.982052503165185,1.0196499195293978
fixed_payload,0.6980000000000005,0.0884944071832622,0.04121534343800767,0.24960282699309105,0.25502044569834176,0.12500971200304742,0.550128348513245,0.19200054272077827,0.11894375078134085,0.855,0.10401617642891275,0.07797842676733928,0.705,-0.01598382357108724,0.027978426767339276,0.0,0.4188000000000003,0.23452136847983013,0.46582870402728754,0.3827126911450501,0.19330602504182245,0.2162258770341965,23.67834570048486,12.970388123188805,0.9783335965359656
fixed_payload,0.7000000000000005,0.08900590543925299,0.04146615985162709,0.25070331280000846,0.25574912799539906,0.12540820680970766,0.5502429034586998,0.1924247243840564,0.11930816747800703,0.855,0.1039303172007942,0.07809282403999936,0.705,-0.0160696827992058,0.028092824039999353,0.0,0.4200000000000003,0.23512435412217716,0.46544320500999015,0.38348479349541237,0.1936581942705501,0.2147398922099817,23.676980149143873,12.958652255020258,0.9370333964762656
fixed_payload,0.7020000000000005,0.08951886047005318,0.04171777308684329,0.25180401064729424,0.2564775154000969,0.1258066176081008,0.5503489236428787,0.19285021967952876,0.11967331041963375,0.855,0.10384431424027576,0.07820715056800666,0.705,-0.01615568575972423,0.028207150568006656,0.0,0.4212000000000003,0.23572675961855344,0.46505656666179535,0.3842549481463388,0.19400898653171014,0.21325255601450088,23.67557382978719,12.946844990227483,0.8957497145188791
fixed_payload,0.7040000000000005,0.09003327168123733,0.041970182969174326,0.25290490347650635,0.25720560559207617,0.12620494116551692,0.5504464146060539,0.19327702937989508,0.12003917746953241,0.8549999999999999,0.1037581689098419,0.07832140438268911,0.7049999999999998,-0.0162418310901581,0.02832140438268911,-1.1102230246251565e-16,0.4224000000000003,0.23632858348258323,0.4646687888127629,0.38502315507440465,0.1943584005134089,0.21176388533625667,23.674126844544755,12.934966420808266,0.8544829451970282
fixed_payload,0.7060000000000005,0.09054913847375512,0.04222338931766798,0.25400597424043614,0.2579333962588958,0.12660317424682982,0.5505353819648907,0.1937051542604078,0.1204057664915189,0.8550000000000001,0.10367188257917047,0.07843558352234459,0.7050000000000001,-0.016328117420829527,0.028435583522344585,1.1102230246251565e-16,0.4236000000000003,0.236929824229326,0.4642798712945715,0.38578941426558333,0.19470643491165804,0.21027389705413535,23.67263929543404,12.923016639188079,0.8132334824062504
fixed_payload,0.7080000000000005,0.09106646024394731,0.042477391944897115,0.25510720590326075,0.25866088509609514,0.12700131361456693,0.550615831412304,0.1941345950988569,0.12077307534994414,0.855,0.10358545662510177,0.07854968603227616,0.705,-0.016414543374898227,0.02854968603227616,0.0,0.4248000000000003,0.23753048037528002,0.4638898139405372,0.3865537257152436,0.1950530884303829,0.20878260803727633,23.671111284357227,12.91099573821786,0.7720017194021809
fixed_payload,0.7100000000000005,0.09158523638356182,0.04273219065695508,0.25620858144069536,0.2593880698072562,0.12739935602897953,0.5506877687173148,0.19456535267555486,0.12114110190972477,0.855,0.10349889243160755,0.07866370996482766,0.705,-0.016501107568392445,0.028663709964827658,0.0,0.4260000000000003,0.2381305504383859,0.4634986165856335,0.38731608942814644,0.19539835978143083,0.20729003514493805,23.669542913098525,12.898903811171804,0.7307880487982334
fixed_payload,0.7120000000000005,0.09210546627976995,0.0429877852534513,0.2573100838401452,0.2601149481040651,0.1277972982481131,0.5507511997249067,0.1949974277733213,0.12150984403637327,0.855,0.10341219138975948,0.0787776533794182,0.705,-0.01658780861024052,0.02877765337941819,0.0,0.4272000000000003,0.23873003293803047,0.46310627906651053,0.3880765054184416,0.19574224768457915,0.20579619522636516,23.66793428332138,12.886740951745134,0.6895928625633854
fixed_payload,0.7140000000000005,0.0926271493151827,0.04324417552750706,0.25841169610085696,0.2608415177063729,0.12819513702787808,0.5508061303558813,0.19543082117746696,0.12187929959602788,0.8550000000000001,0.10332535489769701,0.07889151434257657,0.7050000000000001,-0.016674645102302987,0.02889151434257657,1.1102230246251565e-16,0.4284000000000003,0.2393289263950502,0.462712801221515,0.3888349737096642,0.19608475086754315,0.20430110512065802,23.66628549656578,12.874507254051856,0.648416552019949
fixed_payload,0.7160000000000005,0.09315028486786722,0.043501361265751305,0.2595134012340704,0.2615677763422563,0.12859286912212078,0.5508525666067144,0.19586553367577783,0.12224946645548246,0.855,0.10323838436059513,0.0790052909279754,0.705,-0.01676161563940487,0.029005290927975394,0.0,0.4296000000000003,0.23992722933173502,0.4623181828907095,0.38959149433473095,0.19642586806598372,0.20280478165663895,23.664596654245564,12.862202812622492,0.6072595078412899
fixed_payload,0.7180000000000005,0.09367487231136337,0.04375934224831669,0.2606151822631692,0.26229372174807714,0.12899049128269463,0.5508905145494116,0.19630156605849858,0.12262034248221604,0.855,0.10315128119063136,0.07911898121646474,0.705,-0.01684871880936864,0.029118981216464737,0.0,0.4308000000000003,0.240524940271832,0.46192242391589255,0.3903460673359363,0.1967655980235153,0.2013072416527235,23.662867857645686,12.849827722401816,0.5661221200496591
fixed_payload,0.7200000000000005,0.09420091101470046,0.04401811824883576,0.2617170222238319,0.2630193516685419,0.12938800025953162,0.5509199803313632,0.19673891911831606,0.12299192554442197,0.855,0.10306404680695269,0.07923258329610527,0.705,-0.016935953193047304,0.02923258329610527,0.0,0.43200000000000033,0.24112205774054865,0.46152552414061837,0.3910986927649482,0.1971039394917129,0.19980850191678634,23.661099207919595,12.83738207874655,0.5250047780139573
fixed_payload,0.7220000000000005,0.09472840034241398,0.044277689034437184,0.2628189041641823,0.2637446638567605,0.129785392800714,0.5509409701751997,0.19717759365034215,0.12336421351103713,0.855,0.10297668263564169,0.07934609526220138,0.705,-0.017023317364358304,0.029346095262201374,0.0,0.4332000000000003,0.24171858026455706,0.4611274834102165,0.39184937068280384,0.19744089123011987,0.19830857924603418,23.659290806086528,12.824865977423087,0.48390787044750017
fixed_payload,0.7240000000000005,0.09525733965456258,0.04453805436574228,0.2639208111449396,0.2644696560743041,0.13018266565254621,0.5509534903786467,0.19761759045209643,0.12373720425177051,0.855,0.10288919010968245,0.07945951521733333,0.705,-0.017110809890317547,0.029459515217333324,0.0,0.4344000000000003,0.2423145063719972,0.46072830157181205,0.3925981011599055,0.19777645200625493,0.19680749042687262,23.657442753028903,12.812279514605148,0.4428317854059145
fixed_payload,0.7260000000000005,0.0957877283067451,0.04479921399686153,0.26502272623956835,0.26519432609126314,0.1305798155596271,0.5509575473143793,0.19805891032348877,0.1241108956371319,0.8549999999999999,0.10280157066892619,0.07957284127138962,0.7049999999999998,-0.01719842933107381,0.02957284127138962,-1.1102230246251565e-16,0.4356000000000003,0.2429098345924807,0.46032797847434553,0.39334488427601555,0.19811062059561918,0.19530525223477735,23.65555514948968,12.79962278687147,0.40177691028488205
fixed_payload,0.7280000000000005,0.0963195656501177,0.045061167675391374,0.2661246325344281,0.265918671686304,0.13097683926492232,0.5509531474298767,0.19850155406680148,0.1244852855384602,0.855,0.10271382576005637,0.07968607154159867,0.705,-0.017286174239943622,0.029686071541598663,0.0,0.4368000000000003,0.24350456345709426,0.4599265139685931,0.3940897201202517,0.1984433957817029,0.19380188143416488,23.65362809606972,12.78689589120345,0.360743631817968
fixed_payload,0.7300000000000005,0.09685285103141116,0.04532391514241105,0.26722651312892265,0.2666426906467256,0.13137373350983694,0.5509402972472767,0.19894552248667083,0.12486037182795132,0.8550000000000001,0.10262595683655312,0.07979920415255995,0.7050000000000001,-0.017374043163446873,0.029799204152559947,1.1102230246251565e-16,0.43800000000000033,0.2440986914984036,0.4595239079071865,0.394832608791082,0.19877477635599256,0.1922973947782638,23.65166169322525,12.774098924982805,0.31973233607452034
fixed_payload,0.7320000000000005,0.09738758379294818,0.04558745613247962,0.2683283511356491,0.2673663807685152,0.13177049503428834,0.5509190033632295,0.19939081639006884,0.12523615237868613,0.855,0.10253796535865768,0.07991223723627508,0.705,-0.017462034641342314,0.029912237236275077,0.0,0.4392000000000003,0.24469221725045678,0.4591201601446335,0.39557355039631986,0.19910476111797715,0.19079180900898418,23.649656041265224,12.761231985989177,0.2787434084574665
fixed_payload,0.7340000000000005,0.09792376327266099,0.04585179037363318,0.26943012968054664,0.26808973985640383,0.13216712057677926,0.5508892724487517,0.19983743658628467,0.12561262506465798,0.8549999999999999,0.10244985279333649,0.08002516893217836,0.7049999999999998,-0.017550147206663508,0.030025168932178353,-1.1102230246251565e-16,0.4404000000000003,0.24528513924878806,0.45871527053733807,0.39631254505311814,0.19943334887515488,0.1892851408567915,23.64761124034879,12.748295172397778,0.23777723370119652
fixed_payload,0.7360000000000005,0.09846138880410883,0.04611691758738212,0.2705318319030448,0.2688127657239207,0.13256360687447113,0.5508511112490798,0.20028538388690517,0.1259897877607999,0.855,0.10236162061424418,0.0801379973871667,0.705,-0.017638379385755812,0.0301379973871667,0.0,0.4416000000000003,0.24587745603042127,0.45830923894362063,0.3970495928879642,0.19976053844303915,0.187777407040576,23.64552739048274,12.735288582776967,0.19683419586939177
